,Community,Suburb,Municipality,Province
124,Southern Suburbs,Plumstead,Cape Town,Western Cape
125,Southern Suburbs,Retreat,Cape Town,Western Cape
126,Southern Suburbs,Rondebosch,Cape Town,Western Cape
127,Southern Suburbs,Rosebank,Cape Town,Western Cape
128,Southern Suburbs,Salt River,Cape Town,Western Cape
129,Southern Suburbs,Steenberg,Cape Town,Western Cape
130,Southern Suburbs,Tokai,Cape Town,Western Cape
131,Southern Suburbs,Wetton,Cape Town,Western Cape
132,Southern Suburbs,Wynberg,Cape Town,Western Cape
134,South Peninsula,Capri Village,Cape Town,Western Cape
135,South Peninsula,Clovelly,Cape Town,Western Cape
136,South Peninsula,Da Gama Park,Cape Town,Western Cape
137,South Peninsula,Fish Hoek,Cape Town,Western Cape
138,South Peninsula,Glencairn,Cape Town,Western Cape
139,South Peninsula,Hout Bay,Cape Town,Western Cape
140,South Peninsula,Imizamo Yethu,Cape Town,Western Cape
141,South Peninsula,Kalk Bay,Cape Town,Western Cape
142,South Peninsula,Kommetjie,Cape Town,Western Cape
143,South Peninsula,Masiphumelele,Cape Town,Western Cape
144,South Peninsula,Noordhoek,Cape Town,Western Cape
145,South Peninsula,Ocean View,Cape Town,Western Cape
146,South Peninsula,Scarborough,Cape Town,Western Cape
147,South Peninsula,Simon's Town,Cape Town,Western Cape
148,South Peninsula,St James,Cape Town,Western Cape
0,Cities and towns,Beachview,Nelson Mandela Bay Metropolitan Municipality,Eastern Cape
1,Cities and towns,Bethelsdorp,Nelson Mandela Bay Metropolitan Municipality,Eastern Cape
2,Cities and towns,Colchester,Nelson Mandela Bay Metropolitan Municipality,Eastern Cape
3,Cities and towns,Despatch,Nelson Mandela Bay Metropolitan Municipality,Eastern Cape
4,Cities and towns,Ibhayi,Nelson Mandela Bay Metropolitan Municipality,Eastern Cape
5,Cities and towns,Motherwell,Nelson Mandela Bay Metropolitan Municipality,Eastern Cape
6,Cities and towns,New Brighton,Nelson Mandela Bay Metropolitan Municipality,Eastern Cape
7,Cities and towns,Port Elizabeth,Nelson Mandela Bay Metropolitan Municipality,Eastern Cape
8,Cities and towns,Redhouse,Nelson Mandela Bay Metropolitan Municipality,Eastern Cape
9,Cities and towns,Seaview,Nelson Mandela Bay Metropolitan Municipality,Eastern Cape
10,Cities and towns,Skoenmakerskop,Nelson Mandela Bay Metropolitan Municipality,Eastern Cape
11,Cities and towns,Swartkops,Nelson Mandela Bay Metropolitan Municipality,Eastern Cape
12,Cities and towns,Uitenhage,Nelson Mandela Bay Metropolitan Municipality,Eastern Cape
13,Cities and towns,Van Stadensriviermond,Nelson Mandela Bay Metropolitan Municipality,Eastern Cape
0,Region A,Airdlin,City of Johannesburg,Gauteng
1,Region A,Barbeque Downs,City of Johannesburg,Gauteng
2,Region A,Barbeque Downs Business Park,City of Johannesburg,Gauteng
3,Region A,Bloubosrand,City of Johannesburg,Gauteng
4,Region A,Blue Hills,City of Johannesburg,Gauteng
5,Region A,Broadacres,City of Johannesburg,Gauteng
6,Region A,Buccleuch,City of Johannesburg,Gauteng
7,Region A,Carlswald,City of Johannesburg,Gauteng
8,Region A,Chartwell,City of Johannesburg,Gauteng
9,Region A,Country View,City of Johannesburg,Gauteng
10,Region A,Crowthorne,City of Johannesburg,Gauteng
11,Region A,Dainfern,City of Johannesburg,Gauteng
12,Region A,Diepsloot,City of Johannesburg,Gauteng
13,Region A,Ebony Park,City of Johannesburg,Gauteng
14,Region A,Erand,City of Johannesburg,Gauteng
15,Region A,Farmall,City of Johannesburg,Gauteng
16,Region A,Glen Austin,City of Johannesburg,Gauteng
17,Region A,Halfway Gardens,City of Johannesburg,Gauteng
18,Region A,Halfway House Estate,City of Johannesburg,Gauteng
19,Region A,Headway Hill,City of Johannesburg,Gauteng
20,Region A,Houtkoppen,City of Johannesburg,Gauteng
21,Region A,Inadan,City of Johannesburg,Gauteng
22,Region A,Ivory Park,City of Johannesburg,Gauteng
23,Region A,Kya Sand,City of Johannesburg,Gauteng
24,Region A,Kya Sands,City of Johannesburg,Gauteng
25,Region A,Kyalami Agricultural Holdings,City of Johannesburg,Gauteng
26,Region A,Kyalami Business Park,City of Johannesburg,Gauteng
27,Region A,Kyalami Estates,City of Johannesburg,Gauteng
28,Region A,Maroeladal,City of Johannesburg,Gauteng
29,Region A,Midrand,City of Johannesburg,Gauteng
30,Region A,Midridge Park,City of Johannesburg,Gauteng
31,Region A,Millgate Farm,City of Johannesburg,Gauteng
32,Region A,Nietgedacht,City of Johannesburg,Gauteng
33,Region A,Noordwyk,City of Johannesburg,Gauteng
34,Region A,North Champagne Estates,City of Johannesburg,Gauteng
35,Region A,Paulshof,City of Johannesburg,Gauteng
36,Region A,Plooysville,City of Johannesburg,Gauteng
37,Region A,Rabie Ridge,City of Johannesburg,Gauteng
38,Region A,Randjesfontein AH,City of Johannesburg,Gauteng
39,Region A,Randjespark,City of Johannesburg,Gauteng
40,Region A,Riverbend AH,City of Johannesburg,Gauteng
41,Region A,Salfred,City of Johannesburg,Gauteng
42,Region A,Sunninghill,City of Johannesburg,Gauteng
43,Region A,Sunrella,City of Johannesburg,Gauteng
44,Region A,Trevallyn,City of Johannesburg,Gauteng
45,Region A,Trojan,City of Johannesburg,Gauteng
46,Region A,Vorna Valley,City of Johannesburg,Gauteng
47,Region A,Waterval City,City of Johannesburg,Gauteng
48,Region A,Willaway,City of Johannesburg,Gauteng
49,Region A,Witkoppen,City of Johannesburg,Gauteng
51,Region B,Albertskroon,City of Johannesburg,Gauteng
52,Region B,Albertville,City of Johannesburg,Gauteng
53,Region B,Aldara Park,City of Johannesburg,Gauteng
54,Region B,Amalgam,City of Johannesburg,Gauteng
55,Region B,Auckland Park,City of Johannesburg,Gauteng
56,Region B,Berario,City of Johannesburg,Gauteng
57,Region B,Beverley Gardens,City of Johannesburg,Gauteng
58,Region B,Blackheath,City of Johannesburg,Gauteng
59,Region B,Blairgowrie,City of Johannesburg,Gauteng
60,Region B,Bordeaux,City of Johannesburg,Gauteng
61,Region B,Bosmont,City of Johannesburg,Gauteng
62,Region B,Brixton,City of Johannesburg,Gauteng
63,Region B,Bryanbrink,City of Johannesburg,Gauteng
64,Region B,Bryanston West,City of Johannesburg,Gauteng
65,Region B,Clynton,City of Johannesburg,Gauteng
66,Region B,Country Life Park,City of Johannesburg,Gauteng
67,Region B,Cowdray Park,City of Johannesburg,Gauteng
68,Region B,Craighall,City of Johannesburg,Gauteng
69,Region B,Craighall Park,City of Johannesburg,Gauteng
70,Region B,Cramerview,City of Johannesburg,Gauteng
71,Region B,Cresta,City of Johannesburg,Gauteng
72,Region B,Crown,City of Johannesburg,Gauteng
73,Region B,Daniel Brink Park,City of Johannesburg,Gauteng
74,Region B,Darrenwood,City of Johannesburg,Gauteng
75,Region B,Dunkeld,City of Johannesburg,Gauteng
76,Region B,Dunkeld West,City of Johannesburg,Gauteng
77,Region B,Emmarentia,City of Johannesburg,Gauteng
78,Region B,Ferndale,City of Johannesburg,Gauteng
79,Region B,Florida Glen,City of Johannesburg,Gauteng
80,Region B,Fontainebleau,City of Johannesburg,Gauteng
81,Region B,Forest Town,City of Johannesburg,Gauteng
82,Region B,Glenadrienne,City of Johannesburg,Gauteng
83,Region B,Gleniffer,City of Johannesburg,Gauteng
84,Region B,Greenside,City of Johannesburg,Gauteng
85,Region B,Greymont,City of Johannesburg,Gauteng
86,Region B,Hurlingham,City of Johannesburg,Gauteng
87,Region B,Hurlingham Gardens,City of Johannesburg,Gauteng
88,Region B,Hyde Park,City of Johannesburg,Gauteng
89,Region B,Jan Hofmeyer,City of Johannesburg,Gauteng
90,Region B,Kensington B,City of Johannesburg,Gauteng
91,Region B,Linden,City of Johannesburg,Gauteng
92,Region B,Lyme Park,City of Johannesburg,Gauteng
93,Region B,Malanshof,City of Johannesburg,Gauteng
94,Region B,Melville,City of Johannesburg,Gauteng
95,Region B,Mill Hill,City of Johannesburg,Gauteng
96,Region B,New Brighton,City of Johannesburg,Gauteng
97,Region B,Newlands,City of Johannesburg,Gauteng
98,Region B,Northcliff,City of Johannesburg,Gauteng
99,Region B,Oerder Park,City of Johannesburg,Gauteng
100,Region B,Osummit,City of Johannesburg,Gauteng
101,Region B,Parkhurst,City of Johannesburg,Gauteng
102,Region B,Parkmore,City of Johannesburg,Gauteng
103,Region B,Parktown North,City of Johannesburg,Gauteng
104,Region B,Parkview,City of Johannesburg,Gauteng
105,Region B,Praegville,City of Johannesburg,Gauteng
106,Region B,President Ridge,City of Johannesburg,Gauteng
107,Region B,Randburg,City of Johannesburg,Gauteng
108,Region B,Randpark,City of Johannesburg,Gauteng
109,Region B,Randpark Ridge,City of Johannesburg,Gauteng
110,Region B,River Bend,City of Johannesburg,Gauteng
111,Region B,Rosebank,City of Johannesburg,Gauteng
112,Region B,Ruiterhof,City of Johannesburg,Gauteng
113,Region B,Sandhurst,City of Johannesburg,Gauteng
114,Region B,Solridge,City of Johannesburg,Gauteng
115,Region B,Sophiatown,City of Johannesburg,Gauteng
116,Region B,Strijdompark,City of Johannesburg,Gauteng
117,Region B,Vandia Grove,City of Johannesburg,Gauteng
118,Region B,Vrededorp,City of Johannesburg,Gauteng
119,Region B,Waterval Estate,City of Johannesburg,Gauteng
120,Region B,Westdene,City of Johannesburg,Gauteng
121,Region B,Westcliff,City of Johannesburg,Gauteng
122,Region B,Willowild,City of Johannesburg,Gauteng
124,Region C,Bromhof,City of Johannesburg,Gauteng
125,Region C,Bush Hill,City of Johannesburg,Gauteng
126,Region C,Constantia Kloof,City of Johannesburg,Gauteng
127,Region C,Douglasdale,City of Johannesburg,Gauteng
128,Region C,Fairland,City of Johannesburg,Gauteng
129,Region C,Florida,City of Johannesburg,Gauteng
130,Region C,Florida Hills,City of Johannesburg,Gauteng
131,Region C,Johannesburg North,City of Johannesburg,Gauteng
132,Region C,Jukskei Park,City of Johannesburg,Gauteng
133,Region C,Northgate,City of Johannesburg,Gauteng
134,Region C,Northriding,City of Johannesburg,Gauteng
135,Region C,Olivedale,City of Johannesburg,Gauteng
136,Region C,Roodepoort,City of Johannesburg,Gauteng
137,Region C,Weltevredenpark,City of Johannesburg,Gauteng
138,Region C,Zandspruit,City of Johannesburg,Gauteng
140,Region D,Diepkloof,City of Johannesburg,Gauteng
141,Region D,Dobsonville,City of Johannesburg,Gauteng
142,Region D,Doornkop,City of Johannesburg,Gauteng
143,Region D,Kliptown,City of Johannesburg,Gauteng
144,Region D,Meadowlands,City of Johannesburg,Gauteng
145,Region D,Noordgesig,City of Johannesburg,Gauteng
146,Region D,Orlando,City of Johannesburg,Gauteng
147,Region D,Phiri,City of Johannesburg,Gauteng
148,Region D,Protea Glen,City of Johannesburg,Gauteng
149,Region D,Soweto,City of Johannesburg,Gauteng
150,Region D,Zola,City of Johannesburg,Gauteng
152,Region E,Abbotsford,City of Johannesburg,Gauteng
153,Region E,Alexandra,City of Johannesburg,Gauteng
154,Region E,Atholhurst,City of Johannesburg,Gauteng
155,Region E,Atholl,City of Johannesburg,Gauteng
156,Region E,Atholl Gardens,City of Johannesburg,Gauteng
157,Region E,Bagleyston,City of Johannesburg,Gauteng
158,Region E,Benmore Gardens,City of Johannesburg,Gauteng
159,Region E,Birdhaven,City of Johannesburg,Gauteng
160,Region E,Birnam,City of Johannesburg,Gauteng
161,Region E,Bramley,City of Johannesburg,Gauteng
162,Region E,Bramley North,City of Johannesburg,Gauteng
163,Region E,Bramley Park,City of Johannesburg,Gauteng
164,Region E,Bruma,City of Johannesburg,Gauteng
165,Region E,Bryanston,City of Johannesburg,Gauteng
166,Region E,Bryanston East,City of Johannesburg,Gauteng
167,Region E,Cheltondale,City of Johannesburg,Gauteng
168,Region E,Chislehurston,City of Johannesburg,Gauteng
169,Region E,Cyrildene,City of Johannesburg,Gauteng
170,Region E,Dalecross,City of Johannesburg,Gauteng
171,Region E,Dennehof,City of Johannesburg,Gauteng
172,Region E,Dunhill,City of Johannesburg,Gauteng
173,Region E,Edenburg,City of Johannesburg,Gauteng
174,Region E,Elton Hill,City of Johannesburg,Gauteng
175,Region E,Epsom Downs,City of Johannesburg,Gauteng
176,Region E,Fairway,City of Johannesburg,Gauteng
177,Region E,Fairwood,City of Johannesburg,Gauteng
178,Region E,Fellside,City of Johannesburg,Gauteng
179,Region E,Forbesdale,City of Johannesburg,Gauteng
180,Region E,Fourways,City of Johannesburg,Gauteng
181,Region E,Gallo Manor,City of Johannesburg,Gauteng
182,Region E,Glen Athol,City of Johannesburg,Gauteng
183,Region E,Glenhazel,City of Johannesburg,Gauteng
184,Region E,Greenstone Hill,City of Johannesburg,Gauteng
185,Region E,Gresswold,City of Johannesburg,Gauteng
186,Region E,Hawkins Estate,City of Johannesburg,Gauteng
187,Region E,Highlands North,City of Johannesburg,Gauteng
188,Region E,Houghton Estate (part),City of Johannesburg,Gauteng
189,Region E,Hurl Park,City of Johannesburg,Gauteng
190,Region E,Illovo,City of Johannesburg,Gauteng
191,Region E,Inanda,City of Johannesburg,Gauteng
192,Region E,Kentview,City of Johannesburg,Gauteng
193,Region E,Kew,City of Johannesburg,Gauteng
194,Region E,Khyber Rock,City of Johannesburg,Gauteng
195,Region E,Killarney,City of Johannesburg,Gauteng
196,Region E,Klevehill Park,City of Johannesburg,Gauteng
197,Region E,Littlefillan,City of Johannesburg,Gauteng
198,Region E,Lone Hill,City of Johannesburg,Gauteng
199,Region E,Magalies View,City of Johannesburg,Gauteng
200,Region E,Magaliessig,City of Johannesburg,Gauteng
201,Region E,Marlboro,City of Johannesburg,Gauteng
202,Region E,Marlboro Gardens,City of Johannesburg,Gauteng
203,Region E,Maryvale,City of Johannesburg,Gauteng
204,Region E,Melrose,City of Johannesburg,Gauteng
205,Region E,Melrose Estate,City of Johannesburg,Gauteng
206,Region E,Melrose North,City of Johannesburg,Gauteng
207,Region E,Moodie Hill,City of Johannesburg,Gauteng
208,Region E,Morningside,City of Johannesburg,Gauteng
209,Region E,Morningside Manor,City of Johannesburg,Gauteng
210,Region E,Mountain View,City of Johannesburg,Gauteng
211,Region E,Norscot,City of Johannesburg,Gauteng
212,Region E,Northern Acres,City of Johannesburg,Gauteng
213,Region E,Norwood,City of Johannesburg,Gauteng
214,Region E,Oaklands,City of Johannesburg,Gauteng
215,Region E,Orange Grove,City of Johannesburg,Gauteng
216,Region E,Percelia Estate,City of Johannesburg,Gauteng
217,Region E,Petervale,City of Johannesburg,Gauteng
218,Region E,Raedene Estate,City of Johannesburg,Gauteng
219,Region E,Raumarais Park,City of Johannesburg,Gauteng
220,Region E,River Club,City of Johannesburg,Gauteng
221,Region E,Riviera,City of Johannesburg,Gauteng
222,Region E,Rivonia,City of Johannesburg,Gauteng
223,Region E,Sandown,City of Johannesburg,Gauteng
224,Region E,Sandton,City of Johannesburg,Gauteng
225,Region E,Savoy Estate,City of Johannesburg,Gauteng
226,Region E,Saxonwold,City of Johannesburg,Gauteng
227,Region E,Simba,City of Johannesburg,Gauteng
228,Region E,Strathavon,City of Johannesburg,Gauteng
229,Region E,Sunningdale,City of Johannesburg,Gauteng
230,Region E,Sunningdale Ridge,City of Johannesburg,Gauteng
231,Region E,Sunset Acres,City of Johannesburg,Gauteng
232,Region E,Sydenham,City of Johannesburg,Gauteng
233,Region E,The Gardens,City of Johannesburg,Gauteng
234,Region E,Victoria,City of Johannesburg,Gauteng
235,Region E,Wierda Valley,City of Johannesburg,Gauteng
236,Region E,Woodlands,City of Johannesburg,Gauteng
237,Region E,Woodmead,City of Johannesburg,Gauteng
238,Region E,Wynberg,City of Johannesburg,Gauteng
240,Region F,Aeroton,City of Johannesburg,Gauteng
241,Region F,Alan Manor,City of Johannesburg,Gauteng
242,Region F,Aspen Hills,City of Johannesburg,Gauteng
243,Region F,Bellevue,City of Johannesburg,Gauteng
244,Region F,Bellevue East,City of Johannesburg,Gauteng
245,Region F,Benrose,City of Johannesburg,Gauteng
246,Region F,Berea,City of Johannesburg,Gauteng
247,Region F,Bertrams,City of Johannesburg,Gauteng
248,Region F,Braamfontein,City of Johannesburg,Gauteng
249,Region F,Braamfontein Werf,City of Johannesburg,Gauteng
250,Region F,Chrisville,City of Johannesburg,Gauteng
251,Region F,City Deep,City of Johannesburg,Gauteng
252,Region F,City West-Denver,City of Johannesburg,Gauteng
253,Region F,City and Suburban,City of Johannesburg,Gauteng
254,Region F,City and Suburban Industrial,City of Johannesburg,Gauteng
255,Region F,Crosby,City of Johannesburg,Gauteng
256,Region F,Crown Gardens,City of Johannesburg,Gauteng
257,Region F,Crown North,City of Johannesburg,Gauteng
258,Region F,Doornfontein,City of Johannesburg,Gauteng
259,Region F,Droste Park,City of Johannesburg,Gauteng
260,Region F,Eagles Nest,City of Johannesburg,Gauteng
261,Region F,Eastcliff,City of Johannesburg,Gauteng
262,Region F,Elandspark,City of Johannesburg,Gauteng
263,Region F,Elcedes,City of Johannesburg,Gauteng
264,Region F,Electron,City of Johannesburg,Gauteng
265,Region F,Elladoone,City of Johannesburg,Gauteng
266,Region F,Evans Park,City of Johannesburg,Gauteng
267,Region F,Fairview,City of Johannesburg,Gauteng
268,Region F,Ferreirasdorp,City of Johannesburg,Gauteng
269,Region F,Fordsburg,City of Johannesburg,Gauteng
270,Region F,Forest Hill,City of Johannesburg,Gauteng
271,Region F,Framton,City of Johannesburg,Gauteng
272,Region F,Gillview,City of Johannesburg,Gauteng
273,Region F,Glenanda,City of Johannesburg,Gauteng
274,Region F,Glenesk,City of Johannesburg,Gauteng
275,Region F,Glenvista,City of Johannesburg,Gauteng
276,Region F,Haddon,City of Johannesburg,Gauteng
277,Region F,Heriotdale,City of Johannesburg,Gauteng
278,Region F,Highlands,City of Johannesburg,Gauteng
279,Region F,Hillbrow,City of Johannesburg,Gauteng
280,Region F,Homestead Park,City of Johannesburg,Gauteng
281,Region F,Houghton Estate (part),City of Johannesburg,Gauteng
282,Region F,Jeppestown,City of Johannesburg,Gauteng
283,Region F,Jeppestown South,City of Johannesburg,Gauteng
284,Region F,Johannesburg,City of Johannesburg,Gauteng
285,Region F,Johannesburg South,City of Johannesburg,Gauteng
286,Region F,Joubert Park,City of Johannesburg,Gauteng
287,Region F,Judith's Paarl,City of Johannesburg,Gauteng
288,Region F,Kenilworth,City of Johannesburg,Gauteng
289,Region F,Kensington,City of Johannesburg,Gauteng
290,Region F,Kibler Park,City of Johannesburg,Gauteng
291,Region F,Klipriviersberg,City of Johannesburg,Gauteng
292,Region F,Klipriviersberg Estate,City of Johannesburg,Gauteng
293,Region F,La Rochelle,City of Johannesburg,Gauteng
294,Region F,Lake View Estate,City of Johannesburg,Gauteng
295,Region F,Langlaagte North,City of Johannesburg,Gauteng
296,Region F,Liefde en Vrede,City of Johannesburg,Gauteng
297,Region F,Lindberg Park,City of Johannesburg,Gauteng
298,Region F,Linmeyer,City of Johannesburg,Gauteng
299,Region F,Lorentzville,City of Johannesburg,Gauteng
300,Region F,Malvern,City of Johannesburg,Gauteng
301,Region F,Marshalls,City of Johannesburg,Gauteng
302,Region F,Marshalltown,City of Johannesburg,Gauteng
303,Region F,Mayfair,City of Johannesburg,Gauteng
304,Region F,Mayfield Park,City of Johannesburg,Gauteng
305,Region F,Meredale,City of Johannesburg,Gauteng
306,Region F,Moffat View,City of Johannesburg,Gauteng
307,Region F,Mondeor,City of Johannesburg,Gauteng
308,Region F,Mulbarton,City of Johannesburg,Gauteng
309,Region F,Nasrec,City of Johannesburg,Gauteng
310,Region F,New Centre,City of Johannesburg,Gauteng
311,Region F,New Doornfontein,City of Johannesburg,Gauteng
312,Region F,Newtown,City of Johannesburg,Gauteng
313,Region F,North Doornfontein,City of Johannesburg,Gauteng
314,Region F,Oakdene,City of Johannesburg,Gauteng
315,Region F,Observatory,City of Johannesburg,Gauteng
316,Region F,Ophirton,City of Johannesburg,Gauteng
317,Region F,Ormonde,City of Johannesburg,Gauteng
318,Region F,Pageview,City of Johannesburg,Gauteng
319,Region F,Park Central,City of Johannesburg,Gauteng
320,Region F,Parktown,City of Johannesburg,Gauteng
321,Region F,Patlynn,City of Johannesburg,Gauteng
322,Region F,Prolecon,City of Johannesburg,Gauteng
323,Region F,Randview,City of Johannesburg,Gauteng
324,Region F,Regency,City of Johannesburg,Gauteng
325,Region F,Regents Park,City of Johannesburg,Gauteng
326,Region F,Regents Park Estate,City of Johannesburg,Gauteng
327,Region F,Reuven,City of Johannesburg,Gauteng
328,Region F,Rewlatch,City of Johannesburg,Gauteng
329,Region F,Reynolds View,City of Johannesburg,Gauteng
330,Region F,Ridgeway,City of Johannesburg,Gauteng
331,Region F,Riepen Park,City of Johannesburg,Gauteng
332,Region F,Risana,City of Johannesburg,Gauteng
333,Region F,Rispark,City of Johannesburg,Gauteng
334,Region F,Robertsham,City of Johannesburg,Gauteng
335,Region F,Roseacre,City of Johannesburg,Gauteng
336,Region F,Rosettenville,City of Johannesburg,Gauteng
337,Region F,Salisbury Claims,City of Johannesburg,Gauteng
338,Region F,Selby,City of Johannesburg,Gauteng
339,Region F,South Hills,City of Johannesburg,Gauteng
340,Region F,Southdale,City of Johannesburg,Gauteng
